.:f,.:f,.:,.:f,.:,.:,.:,m:,f:,f:,f:a,f:
f:a,v:,f:a,f:a,v:,m:,.:,.:,.:f,f:a,.:,.:
f:a,f:a,.:f,m:,.:f,f:a,.:,.:f,c:2,.:f,.:f,m:
f:,.:c,.:f,f:a,.:f,.:f,.:,f:a,f:a,m:o,m:,.:
f:a,v:,.:f,f:a,v: ,m:o,f:,.:f,.:f,m:o,f:,m:
f:a,f:a,m:o,.:c,f:a,.:,.:,m:,v:,m:,f:,f:
m:,f:,.:c,f:a,m:,m:,f:a,f:a,.:,m:,.:f,.:f
f:a,v:,f:,m:,m:,m:r,.:,.:r,f:,.:f,.:c,f:r
f:,f:,.:f,f:,f:,.:,m:o,f:a,f:a,v: ,.:f,.:
m:,f:a,f:a,.:f,m:o,.:f,c:0,.:c,m:o,m:,.:,.:
.:,m:,m:,v:,.:,f:,f:,.:f,m:,f:r,.:,m:o
.:,m:,m:o,m:o,f:a,m:,f:,f:,.:,.:,f:,f:
