f:,.:,.:f,m:,f:a,f:,f:,.:f,.:,m:,f:,.:
f:,m:o,m:,v: ,f:,m:,m:o,m:,v: ,m:,.:,.:r
.:,.:f,m:o,m:o,m:,f:,.:f,m:o,f:a,.:f,.:,.:
m:,.:f,f:a,m:o,f:a,.:,.:f,.:,.:f,f:a,m:,f:
m:o,m:o,v:,m:,.:f,v:,f:a,.:f,v: ,.:f,.:,.:
f:r,f:a,f:a,.:,m:,.:,f:a,.:f,.:f,f:a,f:a,m:
f:,f:a,m:o,f:a,m:o,f:a,.:,.:f,.:f,m:,f:a,.:
.:,.:c,m:,f:,.:,v: ,.:,.:,f:a,c:2,.:f,.:f
f:,f:,m:o,f:a,.:f,.:c,f:a,m:,.:f,f:a,f:a,.:
.:,f:a,c:0,f:a,m:,.:,f:a,.:f,m:,.:f,.:f,.:f
.:f,.:,.:c,m:o,f:,m:r,m:o,v:,.:f,.:f,v: ,.:f
f:,.:,.:,.:,.:,.:r,f:a,f:a,f:a,.:f,.:f,m:
