.:,m:,f:,m:r,.:,f:a,f:a,.:f,m:,f:a,f:a,.:
.:f,.:f,m:,f:a,m:,v: ,.:f,.:,m:,v: ,.:,f:a
.:,f:a,c:2,f:a,.:f,.:,f:a,m:,.:f,f:a,f:a,m:
.:,f:a,.:,.:f,.:f,f:a,.:f,f:a,f:a,m:o,m:,.:c
f:a,m:,f:a,m:,f:a,v:,m:,.:,v: ,f:,f:,f:
m:o,v:,.:,f:a,m:o,.:,f:,.:,f:,m:o,f:,m:
f:a,.:f,.:c,f:a,m:,.:f,m:,f:r,.:r,.:,f:a,.:c
.:f,f:a,m:,.:f,v: ,f:a,m:,.:,.:,.:c,v: ,m:o
.:f,v: ,f:a,f:,f:a,.:,m:o,m:o,.:f,.:f,f:,f:
.:f,.:f,f:,.:c,.:f,f:,m:,c:0,f:,.:,m:o,m:o
.:,.:,f:,f:,v: ,f:a,f:a,.:f,f:a,.:f,v: ,m:o
.:,m:,m:,f:,.:f,m:,f:,f:,.:r,f:a,.:f,f:a
