f:a,m:o,m:,m:o,.:,f:a,f:a,.:f,.:,.:,.:c,.:f
.:f,v: ,.:,.:f,v:,f:a,.:f,v:,.:,m:o,v: ,.:
f:a,m:o,f:a,.:f,.:,m:,m:o,m:o,f:a,m:,f:a,.:f
.:,.:,.:f,m:o,.:,.:,.:f,.:f,f:a,m:,.:,.:
f:,m:,v:,f:a,f:a,v:,.:,f:a,v:,f:a,f:,m:
f:a,f:a,m:o,.:f,m:,.:f,m:o,f:a,f:a,f:,.:,f:r
f:a,.:,f:a,f:a,f:a,f:a,m:,f:,.:c,f:,m:,.:
m:,.:f,c:2,f:a,f:a,v:,.:f,m:r,.:,.:,f:,.:
f:a,.:f,f:a,.:,.:f,f:,m:,m:r,.:f,c:0,m:o,f:a
.:f,f:a,f:a,f:,f:a,m:,f:,m:,f:,f:,.:c,.:f
.:f,v: ,m:,.:,m:,v: ,f:a,.:,.:,.:,f:,f:
f:a,f:a,f:a,.:c,.:f,.:f,.:,.:,f:r,.:,f:,.:
