m:,.:,f:,m:,f:a,.:f,f:,f:,f:a,.:f,f:,f:
.:,f:a,f:,.:,.:,.:f,m:o,.:f,m:o,f:,.:,f:
.:,f:a,m:o,.:c,m:r,f:,v:,.:f,f:,v:,f:a,f:a
.:,f:a,c:2,f:a,f:,.:f,.:,.:f,f:a,.:f,m:o,.:
.:f,f:,f:a,.:f,m:,.:,.:,m:,f:a,.:f,.:f,f:
.:,.:,.:f,.:f,m:o,m:o,.:f,.:,.:c,v:,.:c,.:
f:r,f:a,v:,.:f,m:,v:,.:c,.:,f:,f:a,m:o,f:
.:,f:a,m:o,.:,.:,.:,.:f,m:,f:r,f:a,f:,.:f
f:,m:o,.:,.:c,f:a,f:,m:o,.:c,f:,.:c,c:0,f:a
.:,f:,v:,.:,.:r,m:,.:f,v:,.:,.:f,f:a,f:
f:,f:,.:f,f:a,m:o,m:,m:o,f:a,m:,.:,f:,.:
.:,m:,m:,.:,.:f,m:o,.:,f:,f:a,f:,f:,.:
