f:,m:,.:,f:a,m:o,.:,.:f,.:,f:a,.:f,f:a,.:f
f:a,f:,m:o,f:a,f:,.:f,f:a,.:,f:a,c:2,m:o,f:
.:,.:f,f:,m:o,f:a,v:,f:a,m:,f:,.:,.:f,f:
.:,.:f,v:,f:a,m:,.:f,.:,f:a,.:,f:,.:,f:
f:a,f:a,f:,f:a,m:r,.:f,.:,.:,.:,.:,.:,m:
.:,f:,m:o,.:,f:,f:a,v:,f:a,.:f,f:a,.:f,.:f
f:,.:,.:f,v:,.:,.:f,.:c,m:o,m:o,v:,f:,m:
.:,.:,f:a,f:,m:,f:,f:,f:,f:,.:f,.:,m:
.:,m:o,.:,.:,.:,.:f,f:,.:f,.:f,.:f,.:,.:
f:,f:a,v:,f:a,m:o,v:,f:a,.:f,v:,.:f,.:f,.:
m:r,m:o,.:f,m:o,.:f,.:f,f:a,f:a,f:a,.:f,f:r,.:
f:,f:,f:,.:c,f:a,f:,.:,.:,.:r,.:,.:f,f:
