"Name","State","Notes","User","Tags","Created","Runtime","Sweep","actor_mode","anneal_lr","batch_size","capture_video","clip_coef","clip_vloss","cuda","enable_step_diagnostics","ent_coef","env_id","exp_name","force_revalidate_action_interface","gae_lambda","gamma","learning_rate","legal_action_feature_dim","max_fallback_end_turn_rate","max_grad_norm","max_illegal_sample_rate","max_legal_actions","minibatch_size","norm_adv","num_envs","num_iterations","num_minibatches","num_steps","old_logprob_recompute_tol","save_frequency","save_model","seed","startup_jitter_max_s","startup_jitter_min_s","step_diagnostics_log_every","torch_deterministic","total_timesteps","track","update_epochs","validate_action_interface","validation_cache_enabled","validation_seed","validation_states","vf_coef","wandb_project_name","charts/SPS","charts/avg_turn_first_uncaptured_village_visible","charts/avg_turn_second_city_captured","charts/city_count","charts/custom_spt_return","charts/delta_spt_step","charts/episode_end_avg_city_level_t10","charts/episode_end_fog_tiles_cleared_t10","charts/episode_end_spt","charts/episode_end_village_count_t10","charts/final_spt_over_10","charts/final_spt_over_15","charts/final_spt_t10","charts/learning_rate","charts/mean_delta_spt","charts/mean_valid_actions","charts/non_endturn_rate","charts/reward","charts/selected_global_id","charts/selected_raw_java_index","charts/spt","charts/stars","charts/turn","charts/unit_count","economy/episode_end_animals_harvested_t10","economy/episode_end_forests_cleared_t10","economy/episode_end_fruit_harvested_t10","economy/episode_end_lumber_huts_built_t10","economy/episode_end_sawmills_built_t10","economy/episode_end_village_capture_pct_t10","global_step","losses/approx_kl","losses/clipfrac","losses/entropy","losses/explained_variance","losses/old_approx_kl","losses/policy_loss","losses/value_loss","research/avg_turn_forestry_researched","research/avg_turn_organization_researched","research/episode_end_forestry_researched_t10_rate","research/episode_end_organization_researched_t10_rate","research/episode_end_techs_researched_t10","reward/terminal_spt_bonus","tactical_mistakes/end_turn_with_capture_available_rate","tactical_mistakes/end_turn_with_level_up_available_rate","tactical_mistakes/end_turn_with_useful_move_available_rate","tactical_mistakes/ignored_capture_rate","tactical_mistakes/missed_city_upgrade_completion_rate","tactical_mistakes/missed_move_onto_visible_village_rate","tactical_mistakes/move_off_neutral_village_before_capture_rate"
"Tribes-v0__Phase1-Scientific-Train-Seed1__1__1786668037","finished","-","","","2026-08-14T00:40:43.000Z","30604","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","Phase1-Scientific-Train-Seed1","true","0.95","0.99","0.00025","42","0.0001","0.5","0.0001","256","640","true","20","3906","4","128","0.00001","500000","true","1","2","0.1","3","true","10000000","true","4","true","true","12345","10000","0.5","cleanRL","327","3","5.5","","10","","2","35","10","3","2.5","0","10","6.40040962621713e-8","0.16342721142403807","14.925","0.8496628322094407","1.2799999999999998","","","","3.05","","4.95","4","0","5.5","0","0","73.33333333333334","9999360","6.519257911286046e-10","0","0.9979626536369324","0.8475581407546997","4.2747707595935935e-8","-5.606561970239454e-8","57.35042572021485","0","2.5","0","1","2.5","","0.009584664536741214","0","0.004016064257028112","0.6325878594249201","0.010526315789473684","0","0"
"Tribes-v0__ppo__1__1786565606","finished","-","","","2026-08-12T20:13:31.000Z","1811","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","true","0.95","0.99","0.00025","42","0.0001","0.5","0.0001","256","640","true","20","195","4","128","0.00001","50000","true","1","2","0.1","3","true","500000","true","4","true","true","12345","10000","0.5","cleanRL","291","4","6.5","","14","","2.25","50","14","4","2.5","0","14","0.0000012820512820512775","0.1442805898764448","16.898828125","0.8230370665603827","2.3430000000000004","","","","3","","3.6","5.5","0","4.5","0","0","62.5","499200","1.0710209386033398e-9","0","1.3817561864852903","0.4461413621902466","-8.428934847870551e-7","7.756054287710867e-7","106.5527114868164","0","5","0","1","3.5","","0.012658227848101266","0","0.03035143769968051","0.6772151898734177","0.09433962264150944","0.05188679245283019","0"
"Tribes-v0__ppo__1__1778695665","finished","-","","","2026-05-14T12:38:14.000Z","164","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","false","0.95","0.99","0.00025","42","0.0001","0.5","0.0001","1024","640","true","20","2343","4","128","0.00001","500000","true","1","2","0.1","3","true","6000000","true","4","false","true","12345","10000","0.5","cleanRL","164","4","7","","14","","2.25","51","14","4","4","0","14","1.0670081092617469e-7","0.17936507936507937","15.995703125","0.8539682539682539","1.2263157894736842","","","","3.1052631578947367","","3.8947368421052633","4","0","8","0","0","75","5998080","7.916242106276171e-10","0","1.091651201248169","0.8171623945236206","1.3923272312865722e-8","-9.536743306171048e-8","67.23979187011719","0","4","0","1","2","","0.006756756756756757","0","0.005361930294906166","0.6587837837837838","0.013888888888888888","0","0"
"Tribes-v0__ppo__1__1778673883","finished","-","","","2026-05-13T12:04:49.000Z","6408","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","false","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","390","4","128","0.00001","250000","true","1","2","0.1","3","true","1000000","true","4","false","true","12345","10000","0.5","cleanRL","156","2","5","","10","","2.3333333333333335","62","10","3","0","0","10","6.410256410256388e-7","0.10641689916301315","15.9515625","0.8226385013949781","1.764","","","","3.35","","3.65","4","0","8","0","0","100","998400","-3.7252903539730653e-10","0","1.3873684406280518","0.6136032938957214","5.429610538953966e-8","-0.0000010460614703333704","49.15458679199219","0","3","0","1","1","","","0","0.03333333333333333","0.6619047619047619","0.15609756097560976","0.014705882352941176","0"
"Tribes-v0__ppo__1__1778358997","finished","-","","","2026-05-09T20:36:43.000Z","21887","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","false","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","781","4","128","0.00001","500000","true","1","2","0.1","3","true","2000000","true","4","true","true","12345","10000","0.5","cleanRL","92","5.5","8.5","","6","","2","30","6","2","0","0","6","3.201024327784963e-7","0.11495624502784409","15.505078125","0.8389021479713604","0.5555555555555556","","","","3","","3.6666666666666665","2","0","5","0","0","","1999360","-2.3283064365386963e-10","0","1.2613149881362915","0.7325812578201294","0.000002234289468105999","-7.76909303112916e-7","46.11775970458984","0","2","0","0.5","1.5","0","","0","0.006369426751592357","0.7587548638132295","0.1078838174273859","0.007194244604316547","0"
"Tribes-v0__ppo__1__1778324123","killed","-","","","2026-05-09T10:55:30.000Z","18946","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","false","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","781","4","128","0.00001","500000","true","1","2","0.1","3","true","2000000","true","4","true","true","12345","10000","0.5","cleanRL","82","2.5","5","","9","","2","48","9","3","1","0","9","0.000058258642765685014","0.1189146049481245","15.46171875","0.8260175578611333","2.0844444444444448","","","","2.7222222222222223","","3.888888888888889","3.5","0","1.5","0","0","","1537020","0.000007706764336035121","0","1.2639689445495603","0.6974045038223267","-0.00010662593558663502","-0.00007261186692630872","49.46080017089844","0","3","0","0.5","1.5","0","","0","0.013614703880190603","0.728","0","0.007042253521126761","0"
"Tribes-v0__ppo__1__1778266653","finished","-","","","2026-05-08T18:57:40.000Z","49432","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","false","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","1953","4","128","0.00001","500000","true","1","2","0.1","3","true","5000000","true","4","true","true","12345","10000","0.5","cleanRL","111","2","4","","4","","2","43","4","1","","","","1.2800819252431485e-7","0.10490626246509772","14.588671875","0.8260869565217391","1.941","","","","3.5","","4.45","0","0","0","0","0","","4999680","1.0244548542814867e-9","0","0.9696518182754515","0.6661838889122009","3.2456591725349426e-7","-7.450580596923828e-8","32.19121551513672","0","0","0","0","0","","","","","","","",""
"Tribes-v0__ppo__1__1778260387","finished","-","","","2026-05-08T17:13:14.000Z","6062","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","false","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","234","4","128","0.00001","100000","true","1","2","0.1","3","true","600000","true","4","true","true","12345","10000","0.5","cleanRL","102","2","4","","9","","2","32","9","3","","","","0.0000010683760683760646","0.0756","15.688671875","0.81","0.5640000000000001","","","","2.75","","3.05","2","0","2","0","0","","599040","1.0849907638998957e-8","0","1.7432048320770264","0.5528982877731323","-0.000003760727167900768","-0.000004934519438393181","17.33871078491211","0","0","0","0","1","","","","","","","",""
"Tribes-v0__ppo__1__1778183254","finished","-","","","2026-05-07T19:47:40.000Z","52117","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","2343","4","128","0.00001","200000","true","1","2","0.1","","true","6000000","true","4","true","","12345","10000","0.5","cleanRL","169","2","4","","4","","2","49","4","1","","","","1.0670081092617469e-7","0.10398406374501992","14.9453125","0.8322709163346613","1.048","","","","4","","4.7","","","","","","","5998080","6.286427489676781e-10","0","1.100886583328247","0.7101051807403564","0.0000027425353437138256","-6.824731713095389e-7","30.84524154663086","","","0","0","0","","","","","","","",""
"Tribes-v0__ppo__1__1778180156","killed","-","","","2026-05-07T18:56:01.000Z","3004","","legal_features","true","2560","false","0.2","true","true","true","0.01","Tribes-v0","ppo","","0.95","0.99","0.00025","22","0.0001","0.5","0.0001","1024","640","true","20","390","4","128","0.00001","250000","true","1","2","0.1","","true","1000000","true","4","true","","12345","10000","0.5","cleanRL","163","4.5","7.5","","4","","2","32","4","1","","","","0.0001301282051282051","0.08636545381847262","14.934765625","0.8120751699320272","0.6910000000000001","","","","3.55","","3.8","","","","","","","481700","0.00005348031481844373","0","1.5498521327972412","0.37699300050735474","0.0000914562988327816","-0.00011669993546092884","29.503463745117188","","","0","0","0","","","","","","","",""
